index;link;names_surnames;nickname;date_of_birth;place_of_birth;height;profession;famous_movie;number_of_acts;oscars;star_sign
1000;https://www.imdb.com/name/nm0001471?ref_=nmls_hd;Jerry Lewis;"Le Roi du Crazy
                
See more

                »";March 16, 1926;Newark, New Jersey, USA;1.8;Actor;The Nutty Professor;73;1;Pisces
999;https://www.imdb.com/name/nm0001806?ref_=nmls_hd;John Turturro;;February 28, 1957;Brooklyn, New York City, New York, USA;1.8;Actor;Barton Fink;114;2;Pisces
998;https://www.imdb.com/name/nm0000092?ref_=nmls_hd;John Cleese;Cleesey;October 27, 1939;Weston-Super-Mare, Somerset, England, UK;1.9;Actor;A Fish Called Wanda;175;1;Scorpio
997;https://www.imdb.com/name/nm0000885?ref_=nmls_hd;Ned Beatty;The busiest actor in Hollywood;July 6, 1937;Louisville, Kentucky, USA;1.7;Actor;Network;166;1;Cancer
996;https://www.imdb.com/name/nm3485845?ref_=nmls_hd;Adam Driver;;November 19, 1983;San Diego, California, USA;1.8;Actor;Star Wars: Episode VII - The Force Awakens;48;2;Scorpio
995;https://www.imdb.com/name/nm0001722?ref_=nmls_hd;Rufus Sewell;Roof;October 29, 1967;Twickenham, Middlesex, England, UK;1.8;Actor;Dark City;67;1;Scorpio
994;https://www.imdb.com/name/nm0564215?ref_=nmls_hd;James McAvoy;"Jamesy Boy
                
See more

                »";April 21, 1979;Glasgow, Scotland, UK;1.7;Actor;Filth;59;1;Taurus
993;https://www.imdb.com/name/nm0001659?ref_=nmls_hd;Christopher Reeve;"Chris
                
See more

                »";September 25, 1952;New York City, New York, USA;1.9;Actor;Superman;46;1;Libra
992;https://www.imdb.com/name/nm0416673?ref_=nmls_hd;Kevin James;;April 26, 1965;Stony Brook, New York, USA;1.7;Actor;Paul Blart: Mall Cop;45;1;Taurus
991;https://www.imdb.com/name/nm1024677?ref_=nmls_hd;John Krasinski;;October 20, 1979;Newton, Massachusetts, USA;1.9;Actor;A Quiet Place;48;4;Libra
990;https://www.imdb.com/name/nm1544217?ref_=nmls_hd;Cam Gigandet;;August 16, 1982;Tacoma, Washington, USA;1.8;Actor;Twilight;44;52;Leo
989;https://www.imdb.com/name/nm1330560?ref_=nmls_hd;Garrett Hedlund;;September 3, 1984;Roseau, Minnesota, USA;1.8;Actor;Tron;30;47;Virgo
987;https://www.imdb.com/name/nm0206359?ref_=nmls_hd;Charlie Day;Green Man;February 9, 1976;New York City, New York, USA;1.6;Actor;It's Always Sunny in Philadelphia;43;27;Aquarius
988;https://www.imdb.com/name/nm1676221?ref_=nmls_hd;Andy Samberg;Ardy;August 18, 1978;Berkeley, California, USA;1.7;Actor;Saturday Night Live;95;1;Leo
986;https://www.imdb.com/name/nm0732497?ref_=nmls_hd;Craig Robinson;;October 25, 1971;Chicago, Illinois, USA;1.8;Actor;This Is the End;80;213;Scorpio
985;https://www.imdb.com/name/nm0000597?ref_=nmls_hd;Bill Pullman;;December 17, 1953;Hornell, New York, USA;1.8;Actor;Independence Day;98;75;Sagittarius
984;https://www.imdb.com/name/nm3009232?ref_=nmls_hd;Ezra Miller;;September 30, 1992;Hoboken, New Jersey, USA;1.8;Actor;The Perks of Being a Wallflower;31;1016;Libra
983;https://www.imdb.com/name/nm0511088?ref_=nmls_hd;Andrew Lincoln;Andy;September 14, 1973;London, England, UK;1.7;Actor;The Walking Dead;46;622;Virgo
982;https://www.imdb.com/name/nm0344435?ref_=nmls_hd;Ioan Gruffudd;;October 6, 1973;Cardiff, Wales, UK;1.8;Actor;Fantastic Four;77;26;Libra
981;https://www.imdb.com/name/nm0000200?ref_=nmls_hd;Bill Paxton;"Knuckles
                
See more

                »";May 17, 1955;Fort Worth, Texas, USA;1.8;Actor;Aliens;98;4;Taurus
980;https://www.imdb.com/name/nm0148418?ref_=nmls_hd;Michael Cera;Mike;June 7, 1988;Brampton, Ontario, Canada;1.7;Actor;Superbad;90;726;Gemini
979;https://www.imdb.com/name/nm0001667?ref_=nmls_hd;Jonathan Rhys Meyers;"JRM
                
See more

                »";July 27, 1977;Dublin, Ireland;1.7;Actor;Den 12. mann;61;1;Leo
978;https://www.imdb.com/name/nm1144419?ref_=nmls_hd;Danny McBride;;December 29, 1976;Statesboro, Georgia, USA;1.7;Actor;Pineapple Express;52;219;Capricorn
977;https://www.imdb.com/name/nm1684869?ref_=nmls_hd;Troy Baker;;April 1, 1976;Dallas, Texas, USA;1.9;Actor;The Last of Us;366;2047;Aries
976;https://www.imdb.com/name/nm0068260?ref_=nmls_hd;Jamie Bell;;March 14, 1986;Billingham, Stockton-on-Tees, County Durham, England, UK;1.7;Actor;Billy Elliot;34;1;Pisces
975;https://www.imdb.com/name/nm1013003?ref_=nmls_hd;Michael Ealy;;August 3, 1973;Silver Spring, Maryland, USA;1.7;Actor;Barbershop;54;1;Leo
974;https://www.imdb.com/name/nm0000389?ref_=nmls_hd;Emilio Estevez;;May 12, 1962;New York City, New York, USA;1.6;Actor;The Way;48;811;Taurus
973;https://www.imdb.com/name/nm0420955?ref_=nmls_hd;Richard Jenkins;;May 4, 1947;DeKalb, Illinois, USA;1.8;Actor;The Shape of Water;115;2;Taurus
972;https://www.imdb.com/name/nm0000448?ref_=nmls_hd;Lance Henriksen;;May 5, 1940;New York City, New York, USA;1.7;Actor;Hard Target;260;3;Taurus
971;https://www.imdb.com/name/nm1443527?ref_=nmls_hd;Rob Riggle;;April 21, 1970;Louisville, Kentucky, USA;1.8;Actor;The Daily Show;129;1;Taurus
970;https://www.imdb.com/name/nm0005450?ref_=nmls_hd;David Spade;;July 22, 1964;Birmingham, Michigan, USA;1.7;Actor;Joe Dirt;79;2;Cancer
969;https://www.imdb.com/name/nm0000305?ref_=nmls_hd;Mel Blanc;The Man of a Thousand Voices;May 30, 1908;San Francisco, California, USA;1.7;Actor;Who Framed Roger Rabbit;1196;3;Gemini
968;https://www.imdb.com/name/nm0000507?ref_=nmls_hd;Rob Lowe;;March 17, 1964;Charlottesville, Virginia, USA;1.7;Actor;St. Elmo's Fire;102;6;Pisces
967;https://www.imdb.com/name/nm0352778?ref_=nmls_hd;Bill Hader;;June 7, 1978;Tulsa, Oklahoma, USA;1.8;Actor;The Skeleton Twins;110;2;Gemini
966;https://www.imdb.com/name/nm0200452?ref_=nmls_hd;Paul Dano;;June 19, 1984;New York City, New York, USA;1.8;Actor;There Will Be Blood;41;1;Gemini
965;https://www.imdb.com/name/nm0366389?ref_=nmls_hd;Kevin Hart;Chocolate Droppa;July 6, 1979;Philadelphia, Pennsylvania, USA;1.5;Actor;Ride Along;90;1;Cancer
964;https://www.imdb.com/name/nm0333410?ref_=nmls_hd;Topher Grace;;July 12, 1978;New York City, New York, USA;1.8;Actor;In Good Company;57;721;Cancer
963;https://www.imdb.com/name/nm0406975?ref_=nmls_hd;Rhys Ifans;;July 22, 1967;Haverfordwest, Pembrokeshire, Wales, UK;1.8;Actor;The Amazing Spider-Man;81;1;Cancer
962;https://www.imdb.com/name/nm0765597?ref_=nmls_hd;Peter Sarsgaard;;March 7, 1971;Belleville, Illinois, USA;1.8;Actor;Shattered Glass;68;1;Pisces
961;https://www.imdb.com/name/nm0005561?ref_=nmls_hd;Luke Wilson;One-Take Wilson;September 21, 1971;Dallas, Texas, USA;1.8;Actor;Old School;86;126;Virgo
960;https://www.imdb.com/name/nm0000708?ref_=nmls_hd;Billy Zane;;February 24, 1966;Chicago, Illinois, USA;1.8;Actor;Titanic;172;34;Pisces
959;https://www.imdb.com/name/nm1265802?ref_=nmls_hd;Josh Gad;;February 23, 1981;Hollywood, Florida, USA;1.6;Actor;Frozen;75;126;Pisces
958;https://www.imdb.com/name/nm0648249?ref_=nmls_hd;Timothy Olyphant;Olyphantastic;May 20, 1968;Honolulu, Hawaii, USA;1.8;Actor;Justified;65;2;Taurus
957;https://www.imdb.com/name/nm0000858?ref_=nmls_hd;John Barrymore;"Jack
                
See more

                »";February 15, 1882;Philadelphia, Pennsylvania, USA;1.7;Actor;Twentieth Century;67;2;Aquarius
956;https://www.imdb.com/name/nm1107001?ref_=nmls_hd;Anthony Mackie;;September 23, 1978;New Orleans, Louisiana, USA;1.7;Actor;The Hurt Locker;71;732;Libra
955;https://www.imdb.com/name/nm0001082?ref_=nmls_hd;Billy Crudup;;July 8, 1968;Manhasset, New York, USA;1.7;Actor;Almost Famous;49;1;Cancer
954;https://www.imdb.com/name/nm0614165?ref_=nmls_hd;Cillian Murphy;Cilly;May 25, 1976;Douglas, Cork, Ireland;1.7;Actor;28 Days Later...;56;1;Gemini
953;https://www.imdb.com/name/nm0001326?ref_=nmls_hd;Josh Hartnett;;July 21, 1978;St. Paul, Minnesota, USA;1.9;Actor;Lucky Number Slevin;51;319;Cancer
952;https://www.imdb.com/name/nm0837177?ref_=nmls_hd;Jason Sudeikis;Suds;September 18, 1975;Fairfax, Virginia, USA;1.8;Actor;Colossal;75;1;Virgo
951;https://www.imdb.com/name/nm0437646?ref_=nmls_hd;Sung Kang;;April 8, 1972;Gainesville, Georgia, USA;1.8;Actor;Furious 6;62;21;Aries
950;https://www.imdb.com/name/nm1706767?ref_=nmls_hd;Jonah Hill;;December 20, 1983;Los Angeles, California, USA;1.7;Actor;21 Jump Street;63;2;Sagittarius
948;https://www.imdb.com/name/nm0001029?ref_=nmls_hd;Jim Caviezel;"Jimmy
                
See more

                »";September 26, 1968;Mount Vernon, Washington, USA;1.8;Actor;The Passion of the Christ;42;57;Libra
949;https://www.imdb.com/name/nm0000062?ref_=nmls_hd;Elvis Presley;"The Pelvis
                
See more

                »";January 8, 1935;Tupelo, Mississippi, USA;1.8;Actor;Girls! Girls! Girls!;32;1217;Capricorn
947;https://www.imdb.com/name/nm5473782?ref_=nmls_hd;Taron Egerton;;November 10, 1989;Birkenhead, Cheshire, England, UK;1.7;Actor;Kingsman: The Secret Service;26;1;Scorpio
946;https://www.imdb.com/name/nm0000385?ref_=nmls_hd;Sam Elliott;;August 9, 1944;Sacramento, California, USA;1.8;Actor;A Star Is Born;102;1;Leo
945;https://www.imdb.com/name/nm0000346?ref_=nmls_hd;Macaulay Culkin;Mac;August 26, 1980;New York City, New York, USA;1.7;Actor;Home Alone;43;1;Virgo
944;https://www.imdb.com/name/nm0666739?ref_=nmls_hd;Aaron Paul;;August 27, 1979;Emmett, Idaho, USA;1.7;Actor;Breaking Bad;80;1;Virgo
943;https://www.imdb.com/name/nm0000983?ref_=nmls_hd;Albert Brooks;;July 22, 1947;Beverly Hills, California, USA;1.8;Actor;Drive;39;1;Cancer
942;https://www.imdb.com/name/nm0005541?ref_=nmls_hd;Marlon Wayans;;July 23, 1972;New York City, New York, USA;1.8;Actor;White Chicks;44;518;Leo
941;https://www.imdb.com/name/nm0996669?ref_=nmls_hd;Common;;March 13, 1972;Chicago, Illinois, USA;1.8;Actor;Wanted;79;1;Pisces
940;https://www.imdb.com/name/nm0000973?ref_=nmls_hd;Benjamin Bratt;;December 16, 1963;San Francisco, California, USA;1.8;Actor;Miss Congeniality;66;1;Sagittarius
939;https://www.imdb.com/name/nm0000563?ref_=nmls_hd;Chris O'Donnell;;June 26, 1970;Winnetka, Illinois, USA;1.7;Actor;Batman & Robin;36;1;Cancer
938;https://www.imdb.com/name/nm0000277?ref_=nmls_hd;Richard Attenborough;Dickie, Bunter.;August 29, 1923;Cambridge, Cambridgeshire, England, UK;1.7;Actor;Jurassic Park;78;2;Virgo
937;https://www.imdb.com/name/nm0001006?ref_=nmls_hd;John Candy;;October 31, 1950;Toronto, Ontario, Canada;1.8;Actor;Planes, Trains & Automobiles;66;2;Scorpio
936;https://www.imdb.com/name/nm0000676?ref_=nmls_hd;Chris Tucker;;August 31, 1971;Atlanta, Georgia, USA;1.8;Actor;Rush Hour 2;22;825;Virgo
935;https://www.imdb.com/name/nm0491402?ref_=nmls_hd;Hugh Laurie;;June 11, 1959;Oxford, Oxfordshire, England, UK;1.9;Actor;House M.D.;108;3;Gemini
934;https://www.imdb.com/name/nm0079273?ref_=nmls_hd;Paul Bettany;;May 27, 1971;Harlesden, London, England, UK;1.9;Actor;Master and Commander: The Far Side of the World;49;1;Gemini
933;https://www.imdb.com/name/nm0829032?ref_=nmls_hd;Ray Stevenson;;May 25, 1964;Lisburn, Northern Ireland, UK;1.9;Actor;The Three Musketeers;61;1;Gemini
932;https://www.imdb.com/name/nm0159789?ref_=nmls_hd;Hayden Christensen;"H
                
See more

                »";April 19, 1981;Vancouver, British Columbia, Canada;1.8;Actor;Star Wars: Episode II - Attack of the Clones;39;1;Aries
931;https://www.imdb.com/name/nm0059431?ref_=nmls_hd;Jay Baruchel;;April 9, 1982;Ottawa, Ontario, Canada;1.8;Actor;Goon;66;512;Aries
930;https://www.imdb.com/name/nm0001705?ref_=nmls_hd;Rob Schneider;;October 31, 1963;San Francisco, California, USA;1.6;Actor;Deuce Bigalow: European Gigolo;90;3;Scorpio
929;https://www.imdb.com/name/nm0835016?ref_=nmls_hd;Mark Strong;;August 5, 1963;Islington, London, England, UK;1.8;Actor;1917;107;311;Leo
928;https://www.imdb.com/name/nm0654648?ref_=nmls_hd;David Oyelowo;;April 1, 1976;Oxford, England, UK;1.7;Actor;Selma;78;2;Aries
927;https://www.imdb.com/name/nm0000648?ref_=nmls_hd;Wesley Snipes;;July 31, 1962;Orlando, Florida, USA;1.7;Actor;Blade;69;1120;Leo
926;https://www.imdb.com/name/nm0001642?ref_=nmls_hd;Randy Quaid;;October 1, 1950;Houston, Texas, USA;1.9;Actor;Brokeback Mountain;118;1;Libra
925;https://www.imdb.com/name/nm0005110?ref_=nmls_hd;Ashton Kutcher;"Ash
                
See more

                »";February 7, 1978;Cedar Rapids, Iowa, USA;1.8;Actor;That '70s Show;38;1942;Aquarius
923;https://www.imdb.com/name/nm0001772?ref_=nmls_hd;Patrick Stewart;"Beef Stew
                
See more

                »";July 13, 1940;Mirfield, Yorkshire, England, UK;1.7;Actor;Logan;153;3;Cancer
922;https://www.imdb.com/name/nm0005170?ref_=nmls_hd;Bernie Mac;Mac-Man;October 5, 1957;Chicago, Illinois, USA;1.8;Actor;The Bernie Mac Show;37;2;Libra
924;https://www.imdb.com/name/nm0001293?ref_=nmls_hd;Seth Green;;February 8, 1974;Overbrook Park, Philadelphia, Pennsylvania, USA;1.6;Actor;Robot Chicken;197;3;Aquarius
921;https://www.imdb.com/name/nm0005266?ref_=nmls_hd;Craig T. Nelson;"Fish
                
See more

                »";April 4, 1944;Spokane, Washington, USA;1.9;Actor;Coach;90;4;Aries
920;https://www.imdb.com/name/nm1258970?ref_=nmls_hd;Russell Brand;Russ;June 4, 1975;Grays, Essex, England, UK;1.8;Actor;Arthur;39;513;Gemini
919;https://www.imdb.com/name/nm0000174?ref_=nmls_hd;Val Kilmer;;December 31, 1959;Los Angeles, California, USA;1.8;Actor;The Doors;105;612;Capricorn
918;https://www.imdb.com/name/nm1159180?ref_=nmls_hd;Ed Helms;;January 24, 1974;Atlanta, Georgia, USA;1.8;Actor;The Hangover;78;614;Aquarius
917;https://www.imdb.com/name/nm0000630?ref_=nmls_hd;Liev Schreiber;Huggy;October 4, 1967;San Francisco, California, USA;1.9;Actor;Spotlight;88;6;Libra
916;https://www.imdb.com/name/nm0001084?ref_=nmls_hd;Ice Cube;Cube;June 15, 1969;Los Angeles, California, USA;1.7;Actor;Friday;80;926;Gemini
915;https://www.imdb.com/name/nm0000409?ref_=nmls_hd;Brendan Fraser;;December 3, 1968;Indianapolis, Indiana, USA;1.8;Actor;The Mummy;74;811;Sagittarius
914;https://www.imdb.com/name/nm0000434?ref_=nmls_hd;Mark Hamill;;September 25, 1951;Oakland, California, USA;1.7;Actor;Star Wars;349;2325;Libra
913;https://www.imdb.com/name/nm0000347?ref_=nmls_hd;Tim Curry;The Cheshire Cat;April 19, 1946;Grappenhall, Cheshire, England, UK;1.7;Actor;Congo;236;1;Aries
912;https://www.imdb.com/name/nm0000547?ref_=nmls_hd;Alfred Molina;Fred;May 24, 1953;London, England, UK;1.8;Actor;Spider-Man 2;212;1;Gemini
911;https://www.imdb.com/name/nm0202603?ref_=nmls_hd;Jack Davenport;;March 1, 1973;Suffolk, England, UK;1.8;Actor;Pirates of the Caribbean: Dead Man's Chest;64;1;Pisces
910;https://www.imdb.com/name/nm0941777?ref_=nmls_hd;Sam Worthington;;August 2, 1976;Godalming, Surrey, England, UK;1.7;Actor;Avatar;58;617;Leo
909;https://www.imdb.com/name/nm0001173?ref_=nmls_hd;Aaron Eckhart;;March 12, 1968;Cupertino, California, USA;1.8;Actor;The Dark Knight;49;1;Pisces
908;https://www.imdb.com/name/nm0000329?ref_=nmls_hd;Jackie Chan;"Kung-Fu Master
                
See more

                »";April 7, 1954;Victoria Peak, Hong Kong;1.7;Actor;Ngo si seoi;142;4751;Aries
907;https://www.imdb.com/name/nm0942482?ref_=nmls_hd;Jeffrey Wright;;December 7, 1965;Washington, District of Columbia, USA;1.7;Actor;Shaft;72;1;Sagittarius
906;https://www.imdb.com/name/nm0056187?ref_=nmls_hd;Sacha Baron Cohen;;October 13, 1971;Hammersmith, London, England, UK;1.9;Actor;Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan;42;1;Libra
905;https://www.imdb.com/name/nm0176869?ref_=nmls_hd;Steve Coogan;Steve;October 14, 1965;Middleton, Manchester, England, UK;1.7;Actor;Philomena;120;2;Libra
904;https://www.imdb.com/name/nm0001454?ref_=nmls_hd;Martin Lawrence;;April 16, 1965;Frankfurt am Main, Hesse, Germany;1.7;Actor;Martin;40;511;Aries
903;https://www.imdb.com/name/nm0000144?ref_=nmls_hd;Cary Elwes;;October 26, 1962;London, England, UK;1.8;Actor;Saw;132;8;Scorpio
902;https://www.imdb.com/name/nm0001447?ref_=nmls_hd;Nathan Lane;;February 3, 1956;Jersey City, New Jersey, USA;1.6;Actor;The Producers;87;2;Aquarius
901;https://www.imdb.com/name/nm0000453?ref_=nmls_hd;Ian Holm;;September 12, 1931;Goodmayes, Essex, England, UK;1.6;Actor;The Lord of the Rings: The Return of the King;136;1;Virgo
899;https://www.imdb.com/name/nm0180411?ref_=nmls_hd;Abbie Cornish;Dusk;August 7, 1982;Lochinvar, New South Wales, Australia;1.7;Actress;Bright Star;42;1524;Leo
898;https://www.imdb.com/name/nm1227814?ref_=nmls_hd;Vanessa Hudgens;"Van
                
See more

                »";December 14, 1988;Salinas, California, USA;1.5;Actress;High School Musical 3: Senior Year;61;1121;Sagittarius
897;https://www.imdb.com/name/nm0852132?ref_=nmls_hd;Christine Taylor;;July 30, 1971;Allentown, Pennsylvania, USA;1.6;Actress;Dodgeball: A True Underdog Story;64;2;Leo
896;https://www.imdb.com/name/nm0329481?ref_=nmls_hd;Ginnifer Goodwin;"Gigi
                
See more

                »";May 22, 1978;Memphis, Tennessee, USA;1.6;Actress;Big Love;36;315;Gemini
895;https://www.imdb.com/name/nm1428821?ref_=nmls_hd;Joey King;;July 30, 1999;Los Angeles, California, USA;1.6;Actress;The Act;66;1;Leo
894;https://www.imdb.com/name/nm0002536?ref_=nmls_hd;Emmy Rossum;"Em
                
See more

                »";September 12, 1986;New York City, New York, USA;1.7;Actress;The Phantom of the Opera;44;1;Virgo
893;https://www.imdb.com/name/nm0001349?ref_=nmls_hd;Jennifer Love Hewitt;"Love
                
See more

                »";February 21, 1979;Waco, Texas, USA;1.5;Actress;I Know What You Did Last Summer;63;1;Pisces
892;https://www.imdb.com/name/nm0257969?ref_=nmls_hd;Mireille Enos;;September 22, 1975;Houston, Texas, USA;1.5;Actress;If I Stay;42;1;Virgo
891;https://www.imdb.com/name/nm1469236?ref_=nmls_hd;Olivia Colman;Collie;January 30, 1974;Norwich, Norfolk, England, UK;1.7;Actress;The Favourite;109;1;Aquarius
890;https://www.imdb.com/name/nm1431940?ref_=nmls_hd;Evangeline Lilly;"Monkey
                
See more

                »";August 3, 1979;Fort Saskatchewan, Alberta, Canada;1.6;Actress;Ant-Man;24;1;Leo
889;https://www.imdb.com/name/nm0001273?ref_=nmls_hd;Lillian Gish;The First Lady of American Cinema;October 14, 1893;Springfield, Ohio, USA;1.6;Actress;The Night of the Hunter;120;1;Libra
888;https://www.imdb.com/name/nm0000224?ref_=nmls_hd;Alicia Silverstone;Queen Slice;October 4, 1976;San Francisco, California, USA;1.6;Actress;Clueless;69;1;Libra
887;https://www.imdb.com/name/nm0429069?ref_=nmls_hd;Rashida Jones;Rash or Rashi;February 25, 1976;Los Angeles, California, USA;1.6;Actress;Parks and Recreation;77;1;Pisces
886;https://www.imdb.com/name/nm2946516?ref_=nmls_hd;Claire Foy;;April 16, 1984;Stockport, England, UK;1.6;Actress;First Man;29;1;Aries
885;https://www.imdb.com/name/nm0004376?ref_=nmls_hd;Franka Potente;;July 22, 1974;Münster, North Rhine-Westphalia, Germany;1.7;Actress;Lola rennt;57;107;Cancer
884;https://www.imdb.com/name/nm0000521?ref_=nmls_hd;Sophie Marceau;;November 17, 1966;Paris, France;1.7;Actress;La boum;47;85;Scorpio
883;https://www.imdb.com/name/nm0748973?ref_=nmls_hd;Maya Rudolph;;July 27, 1972;Gainesville, Florida, USA;1.7;Actress;Bridesmaids;101;2;Leo
882;https://www.imdb.com/name/nm0005064?ref_=nmls_hd;January Jones;;January 5, 1978;Sioux Falls, South Dakota, USA;1.6;Actress;X: First Class;32;2;Capricorn
881;https://www.imdb.com/name/nm0000208?ref_=nmls_hd;Molly Ringwald;;February 18, 1968;Roseville, California, USA;1.7;Actress;Sixteen Candles;69;1;Aquarius
880;https://www.imdb.com/name/nm2057859?ref_=nmls_hd;Andrea Riseborough;;November 20, 1981;Newcastle upon Tyne, Northumberland, England, UK;1.6;Actress;Birdman or (The Unexpected Virtue of Ignorance);54;2019;Scorpio
879;https://www.imdb.com/name/nm0177639?ref_=nmls_hd;Jennifer Coolidge;;August 28, 1961;Boston, Massachusetts, USA;1.7;Actress;A Cinderella Story;118;35;Virgo
878;https://www.imdb.com/name/nm0935541?ref_=nmls_hd;Mary Elizabeth Winstead;"Mary
                
See more

                »";November 28, 1984;Rocky Mount, North Carolina, USA;1.7;Actress;10 Cloverfield Lane;58;422;Sagittarius
877;https://www.imdb.com/name/nm0240381?ref_=nmls_hd;Hilary Duff;Hil;September 28, 1987;Houston, Texas, USA;1.5;Actress;A Cinderella Story;76;2030;Libra
876;https://www.imdb.com/name/nm2951768?ref_=nmls_hd;Freida Pinto;Fro;October 18, 1984;Bombay, Maharashtra, India [now Mumbai, Maharashtra, India];1.6;Actress;Slumdog Millionaire;30;1;Libra
875;https://www.imdb.com/name/nm0000418?ref_=nmls_hd;Danny Glover;;July 22, 1946;San Francisco, California, USA;1.9;Actor;Lethal Weapon;203;4;Cancer
874;https://www.imdb.com/name/nm0269463?ref_=nmls_hd;Jon Favreau;"Mark Johnstan
                
See more

                »";October 19, 1966;Queens, New York City, New York, USA;1.8;Actor;Chef;70;2;Libra
873;https://www.imdb.com/name/nm1569276?ref_=nmls_hd;Chadwick Boseman;Chad;November 29, 1976;Anderson, South Carolina, USA;1.8;Actor;Black Panther;34;1;Sagittarius
872;https://www.imdb.com/name/nm0241049?ref_=nmls_hd;Josh Duhamel;Josh;November 14, 1972;Minot, North Dakota, USA;1.9;Actor;Transformers;52;317;Scorpio
871;https://www.imdb.com/name/nm0991810?ref_=nmls_hd;Mahershala Ali;Ali;February 16, 1974;Oakland, California, USA;1.8;Actor;House of Cards;49;2;Aquarius
870;https://www.imdb.com/name/nm0000293?ref_=nmls_hd;Sean Bean;;April 17, 1959;Sheffield, South Yorkshire, England, UK;1.7;Actor;The Lord of the Rings: The Fellowship of the Ring;116;1714;Aries
869;https://www.imdb.com/name/nm0000112?ref_=nmls_hd;Pierce Brosnan;;May 16, 1953;Drogheda, County Louth, Ireland;1.8;Actor;The World Is Not Enough;101;2;Taurus
868;https://www.imdb.com/name/nm0000316?ref_=nmls_hd;Mel Brooks;;June 28, 1926;Brooklyn, New York City, New York, USA;1.6;Actor;Spaceballs;63;1;Cancer
867;https://www.imdb.com/name/nm0085312?ref_=nmls_hd;Jack Black;"Jables
                
See more

                »";August 28, 1969;Hermosa Beach, California, USA;1.6;Actor;The School of Rock;162;2;Virgo
866;https://www.imdb.com/name/nm0519043?ref_=nmls_hd;Justin Long;The Mac Guy;June 2, 1978;Fairfield, Connecticut, USA;1.7;Actor;Live Free or Die Hard;99;39;Gemini
865;https://www.imdb.com/name/nm0790688?ref_=nmls_hd;Michael Sheen;;February 5, 1969;Newport, Gwent, Wales, UK;1.7;Actor;Masters of Sex;93;1;Aquarius
864;https://www.imdb.com/name/nm0001497?ref_=nmls_hd;Tobey Maguire;;June 27, 1975;Santa Monica, California, USA;1.7;Actor;Brothers;52;1;Cancer
